market_id,sport,league,slug,snapshots_count,hours_covered,avg_mid,price_range,volatility,avg_spread,direction,taker_rt_cost,move_cost_ratio,cost_source,early_go
1776297,basketball,nba,nba-det-phi-2026-04-04,148,12.00,0.5466,0.1100,0.0251,0.0103,0.0000,3.6529,3.01,phase0,YES
1846477,basketball,nba,nba-chi-nyk-2026-04-03-spread-home-13pt5,18,1.41,0.5183,0.0500,0.0152,0.0111,-0.0450,4.7500,1.05,computed,YES
1820811,tennis,unknown,wta-udvardy-kawa-2026-04-02,39,2.93,0.4272,0.0650,0.0131,0.0108,-0.0650,4.3529,1.49,phase0,YES
1538249,football,mls,mls-nyc-stl-2026-04-04-nyc,150,12.01,0.5690,0.0400,0.0123,0.0104,-0.0400,2.6619,1.50,computed,YES
1525608,football,unknown,mex-pue-jua-2026-04-03-pue,36,2.91,0.3708,0.0300,0.0120,0.0100,0.0300,3.1000,0.97,computed,NO
1837181,basketball,nba,nba-chi-nyk-2026-04-03-spread-home-16pt5,54,4.18,0.4267,0.0400,0.0118,0.0100,-0.0400,3.1000,1.29,computed,YES
1846479,basketball,nba,nba-chi-nyk-2026-04-03-spread-home-14pt5,18,1.41,0.4783,0.0300,0.0115,0.0111,-0.0300,2.8639,1.05,computed,YES
1840571,basketball,nba,nba-nop-sac-2026-04-03-spread-away-5pt5,84,6.67,0.5313,0.0500,0.0111,0.0104,0.0500,3.9802,1.26,phase0,YES
1837778,basketball,nba,nba-chi-nyk-2026-04-03-spread-home-15pt5,54,4.18,0.4560,0.0350,0.0110,0.0102,-0.0350,5.9216,0.59,phase0,NO
1839340,basketball,nba,nba-chi-nyk-2026-04-03-total-236pt5,18,1.41,0.5189,0.0350,0.0109,0.0122,-0.0150,4.6866,0.75,computed,NO
1733531,football,la liga,lal-mad-bar-2026-04-04-total-3pt5,112,9.24,0.4670,0.0300,0.0104,0.0102,0.0300,2.7758,1.08,computed,YES
1838584,basketball,nba,nba-ind-cha-2026-04-03-spread-home-14pt5,12,0.92,0.5492,0.0300,0.0102,0.0117,-0.0300,3.8018,0.79,phase0,NO
1837776,basketball,nba,nba-min-phi-2026-04-03-total-233pt5,12,0.92,0.5038,0.0300,0.0096,0.0108,0.0000,6.0000,0.50,phase0,NO
1791537,basketball,nba,nba-lal-dal-2026-04-05,99,8.15,0.7011,0.0300,0.0094,0.0105,0.0150,3.3793,0.89,phase0,NO
1847101,basketball,nba,nba-min-phi-2026-04-03-total-235pt5,12,0.92,0.4546,0.0300,0.0092,0.0108,-0.0100,2.8327,1.06,computed,YES
1837783,basketball,nba,nba-bos-mil-2026-04-03-spread-away-17pt5,60,4.67,0.5113,0.0200,0.0092,0.0100,0.0200,6.1667,0.32,phase0,NO
1837784,basketball,nba,nba-bos-mil-2026-04-03-total-218pt5,24,1.91,0.4685,0.0400,0.0091,0.0104,0.0200,2.7500,1.45,computed,YES
1838939,basketball,nba,nba-ind-cha-2026-04-03-total-234pt5,12,0.92,0.5008,0.0200,0.0090,0.0100,0.0000,2.7031,0.74,computed,NO
1837178,basketball,nba,nba-min-phi-2026-04-03-total-234pt5,12,0.92,0.4758,0.0200,0.0090,0.0100,0.0000,4.1053,0.49,phase0,NO
1837785,basketball,nba,nba-bos-mil-2026-04-03-total-217pt5,24,1.91,0.4935,0.0300,0.0088,0.0121,0.0200,4.0619,0.74,phase0,NO
1837183,basketball,nba,nba-tor-mem-2026-04-03-spread-away-13pt5,24,1.91,0.5288,0.0300,0.0088,0.0100,0.0300,2.6257,1.14,computed,YES
1837182,basketball,nba,nba-chi-nyk-2026-04-03-total-238pt5,54,4.18,0.4788,0.0300,0.0088,0.0113,-0.0200,2.8639,1.05,computed,YES
1837180,basketball,nba,nba-atl-bkn-2026-04-03-total-225pt5,54,4.18,0.4807,0.0300,0.0087,0.0107,-0.0100,3.9802,0.75,phase0,NO
1744905,football,unknown,por-por-fam-2026-04-04-por,21,1.67,0.6907,0.0200,0.0087,0.0100,-0.0200,2.4843,0.81,computed,NO
1837782,basketball,nba,nba-tor-mem-2026-04-03-spread-away-12pt5,24,1.91,0.5638,0.0300,0.0085,0.0100,0.0300,2.5799,1.16,computed,YES
1760821,basketball,nba,nba-nop-sac-2026-04-03,84,6.67,0.6655,0.0300,0.0085,0.0100,0.0200,3.5504,0.84,phase0,NO
1848814,basketball,nba,nba-nop-sac-2026-04-03-spread-away-6pt5,35,2.82,0.4891,0.0300,0.0084,0.0109,0.0300,2.7031,1.11,computed,YES
1733557,football,la liga,lal-rso-lev-2026-04-04-total-2pt5,60,4.92,0.5875,0.0200,0.0082,0.0110,0.0100,2.5667,0.78,computed,NO
1776286,basketball,nba,nba-sas-den-2026-04-04,148,12.00,0.5631,0.0300,0.0079,0.0100,-0.0200,3.7699,0.80,phase0,NO
1837786,basketball,nba,nba-orl-dal-2026-04-03-spread-away-7pt5,17,1.32,0.4653,0.0200,0.0076,0.0106,0.0200,2.8033,0.71,computed,NO
1837779,basketball,nba,nba-chi-nyk-2026-04-03-total-237pt5,54,4.18,0.5018,0.0300,0.0076,0.0102,-0.0200,2.7758,1.08,computed,YES
1776272,basketball,nba,nba-was-mia-2026-04-04,86,7.08,0.0679,0.0200,0.0073,0.0100,-0.0200,16.7567,0.12,computed,NO
1842057,basketball,nba,nba-ind-cha-2026-04-03-total-236pt5,48,3.68,0.4513,0.0200,0.0073,0.0100,-0.0100,2.8972,0.69,computed,NO
1837177,basketball,nba,nba-min-phi-2026-04-03-spread-home-2pt5,48,3.68,0.5527,0.0200,0.0072,0.0100,-0.0100,3.9802,0.50,phase0,NO
1832188,baseball,mlb,mlb-mil-kc-2026-04-03-spread-away-1pt5,21,1.66,0.3893,0.0200,0.0071,0.0119,-0.0200,3.2016,0.62,computed,NO
1838583,basketball,nba,nba-ind-cha-2026-04-03-total-233pt5,48,3.68,0.5274,0.0200,0.0069,0.0135,-0.0050,2.6818,0.75,computed,NO
1553278,football,unknown,efa-sot-ars-2026-04-04-sot,60,4.92,0.1033,0.0200,0.0069,0.0113,0.0200,8.5133,0.23,computed,NO
1760063,baseball,mlb,mlb-mil-kc-2026-04-03,57,4.43,0.5098,0.0300,0.0067,0.0102,0.0000,6.0000,0.50,phase0,NO
1838582,basketball,nba,nba-ind-cha-2026-04-03-spread-home-15pt5,12,0.92,0.5000,0.0200,0.0067,0.0100,-0.0200,2.7500,0.73,computed,NO
1842486,basketball,nba,nba-uta-hou-2026-04-03-total-233pt5,24,1.91,0.5129,0.0300,0.0066,0.0100,-0.0300,2.7758,1.08,computed,YES
